title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,parking
Local Comercial con terreno sobre Calzada Madero!,arlette,Local comercial,Ex-Marquezado,[2500000],,,,,"En venta terreno con local comercial sobre Calzada Madero, magnífica ubicación.,Superficie de 115 metros cuadrados con todos los servicios.,Local con frente a la calle con 5 metros de frente, y amplio terreno atrás con 22 meteos de fondo. Ideal para ampliación, bodega o nueva construcción.,Buena ubicación! Buen precio!",
"Preciosa residencia en San Felipe del Agua, con vistas espectaculares!",arlette,Casa,San Felipe Del Agua,[8650000],[4],[3],[190],[736],"Para venta, hermosa casa, con amplio jardín arbolado, en San Felipe del Agua, cerca de la Iglesia, con vistas panorámicas de las montañas!,Superficie de terreno de 736 m2, y aproximadamente 190 m2 de construcción.,Casa en dos plantas, que cuenta, en primera planta, con amplia sala-comedor de doble altura, cocina, medio baño, y recámara de visitas con baño completo.,En planta alta, la casa tiene 3 recámaras, la principal con baño, vestidor y balcón, y un baño completo para las otras dos.,En el exterior, la casa cuenta con un hermoso jardín, con muchos arboles, una terraza elevada con hermosas vistas.,La casa cuenta con cuchera para 2 autos, cisterna de 10,000 litros, y servicios en la zona.,Gran oportunidad!",2
"Magnifica propiedad en el Centro de Oaxaca, ideal para oficinas u hostal!",arlette,Casa,Oaxaca Centro,[11500000],[8],[4],[420],[289],"En venta, excelente propiedad para oficinas, hostal, escuela, etcétera, en el centro de la Ciudad de Oaxaca, sobre la calle Guerrero, a pocas cuadras del Zocalo!,Superficie de 289m2 de terreno, y 420 m2 de construcción!,La propiedad consta de una construcción en dos plantas, que cuenta con cochera para dos autos, sala, comedor, cocina, varios espacios diseñados para privados, numerosos baños en ambas plantas.,La propiedad se puede configurar para obtener los espacios deseados, al contar con 3 salas de gran tamaño. Así mismo, también tiene una cocina en la azotea, techada.,Excelente ubicación, ideal para oficinas, clinica, hostal, escuela! Oportunidad!",2
Hermosa residencia en Santa Lucia del Camino!,arlette,Casa,Santa Lucia Del Camino,[8490000],[5],[5],[522],[475],"En venta, hermosa residencia en Santa Lucia del Camino, a solo unas cuadras del Palacio Municipal, con fácil acceso desde Avenida Ferrocarril y Camino Nacional.,Superficie de terreno de 475 metros cuadrados, y 520 metros cuadrados de construcción en dos plantas.,Entrando a la casa, un hermoso jardín nos recibe y da acceso a la cochera techada para dos autos.,Un hermoso corredor rodea la sala- con precioso bar-, el comedor, el estudio, y dos amplísimas recámaras que cuentan con baño propio, todo con vista a una gran piscina ovalada, totalmente equipada, rodeada por preciosas jardineras, zona de asador, y baños que dan servicio al area de la piscina.,La cocina integral es totalmente equipada, y da acceso a el area de servicio que cuenta con lavandería y cuarto de servicio con baño completo.,En la planta alta, encontramos la recámara principal, que cuenta con precioso vestidor, y baño completo con sauna. También en esta planta encontramos otra amplísima recámara- también con baño propio, y la recámara de visitas, todas con salida a la terraza.,La propiedad cuenta con todos los servicios públicos, cisterna, gas estacionario, linea telefónica.,Acabados de primera calidad, oportunidad!",2
"Hermosa propiedad en renta en San Felipe del Agua, sobre calle principal!",arlette,Casa,San Felipe Del Agua,[50000],[3],[2],[350],[800],"En renta! Hermosa propiedad en San Felipe del Agua, en esquina! Ubicada sobre Avenida Jacarandas, con amplios jardines, frente a dos calles, ideal para restaurante, pequeño hotel boutique, spa, etc!,Superficie de terreno de 800m2, y superficie construida de aproximadamente 350m2.,La casa cuenta con dos entradas con cochera para hasta 4 autos en cada una; una de ellas con barra exterior, además de contar la propiedad con hermosos jardines.,La casa en planta baja, presume una amplia sala-comedor, recibidor, estudio y recámara con baño completo y tina, así como medio baño y cocina.,En planta alta, la casa cuenta con amplia sala de estar, así como dos recámaras con baño compartido.,La propiedad cuenta con área de servicio con lavandería y cuarto de servicio con baño, y bodega, cisterna de 10,000 litros, y todos los servicios de la zona.,Oportunidad! Inmejorable ubicación para comercio de alto nivel.",8
"Bonita Casa en San Felipe del Agua, cerca del Panteón!",arlette,Casa,San Felipe Del Agua,,[3],[2],[250],[200],"En venta o renta, bonita casa en San Felipe del Agua, a una cuadra del Panteón de San Felipe, zona residencial con todos los servicios!,Terreno de 200m2, y aproximadamente 250m2 de construcción.,La casa, de dos plantas, cuenta con Sala, comedor, medio baño, cocina equipada y área de servicio con lavanderia y cuarto de servicio con baño.,En planta alta, la casa tiene tres recámaras, todas con closet; la principal con baño completo y vestidor, y un baño más que da servicio a las otras dos recámaras. La principal así mismo, cuenta con balcón.,Cochera para dos autos con portón eléctrico, cisterna, y bonito patio.,Buena ubicación, en la parte baja de San Felipe!",2
Hermosa residencia en San Felipe del Agua!,arlette,Casa,San Felipe Del Agua,[12250000],[5],[5],[467],[316],"En venta, hermosa residencia en San Felipe del Agua, localizada en la zona baja, cerca de la Fuente de las 8 Regiones, calle privada en excelente ubicación!,Superficie de terreno de 316 m2, y 467 m2 de superficie de construcción.,La casa cuenta en su nivel principal, con amplisima sala, comedor, desayunador, cocina integral equipada con despensa, medio baño para visitas, y dos recámaras cada una con baño completo y closets.,En la segunda planta, la casa cuenta con 2 recámaras más, sala de estar, y area de servicio, así como una bonita terraza con vista.,En el subnivel, o sótano, la casa presume un amplio salón de juegos con barra y despensa, con salida a jardín, y una recámara de visitas con baño completo.,La casa tiene todos los servicios municipales, así como cochera para dos autos con porton automático, cisterna de 10,000 litros con bomba sumergible e hidroneumático para presion del agua y calentador solar.,Ubicada en una de las mejores zonas de San Felipe, con plazas comerciales, escuelas, bancos, tiendas; todo a distancia caminando!,Oportunidad!",2
Magnifica propiedad- Casa con bungalows en Colonia Reforma!,arlette,Casa,Reforma,[12500000],[10],[7],[500],[790],"En venta, excelente propiedad en Colonia Reforma, a una cuadra de Calzada Porfirio Díaz; en zona tranquila, segura y a solo unos pasos de la zona comercial de la calzada.,Superficie de terreno de 790 m2, con 24 metros de frente a calle. La propiedad cuenta con una casa principal, seis bungalows totalmente independientes, area de bodega, jardín y despacho, y cochera amplia para 4 autos.,La casa principal, de una planta, consta de sala-comedor, cocina, estudio, dos recamaras y un baño completo, así como terraza, jardín al frente, y patio trasero.,En la parte posterior, cuenta también con area de bodegas, amplio jardín, y despacho completamente independiente de la casa.,De los 6 bungalows de la propiedad, 4 de ellos constan de estancia, cocineta y recámara con baño completo; los dos restantes, cuentan con 2 recámaras, estancia, cocina y baño completo. Todos los departamentos tienen acceso a las áreas comunes de jardín y terraza, así como al área de lavandería.,Oportunidad, zona en crecimiento comercial, y propiedad con amplias posibilidades de expansión.",4
Amplia casa en San Martin Mexicapan,arlette,Casa,Agencia Municipal San Martin Mexicapan,[2500000],[3],[1],[138],[380],"En venta, casa en San Martin Mexicapam, en la Colonia Hidalgo, a solo tres cuadras de la Avenida Montoya!,Superficie de 380 m2 de terreno, y casa de una planta con 138 m2 de construcción.,casa que cuenta con sala, comedor, cocina, un baño y medio, y tres recámaras.,Cuarto de servicio con baño, y jardín.,Cochera para dos autos, y todos los servicios.",2
"Bonito lote en San Felipe, con bonitas vistas!",arlette,Terreno,San Felipe Del Agua,[800000],,,,[210],"En venta, lote en San Felipe del Agua, cerca de la iglesia.,Superficie de 210 m2, zona en desarrollo.,Buena ubicación.",
"Casa en venta en ex- Marquesado, ideal para hostal!",arlette,Casa,Ex-Marquezado,[10400000],[20],[9],[526],[504],"En venta, magnifica propiedad en el Ex-Marquesado, con dos casas antiguas(*), a media cuadra del Jardin Madero.,Superficie de terreno de 504 m2, compuesto por dos lotes de 252 m2 cada uno, y 526 m2 de área construida; 389m2 en una casa, y 189 en otra.,Primera casa que consta de sala, comedor, tres baños completos, área de servicio y patio, en planta baja, así como 3 departamentos independientes en planta alta; en total ocho piezas en planta baja, y 6 en planta alta.,Segunda casa que cuenta con 8 piezas, tres baños, todo en una planta, bodega, patio y área de servicio.,Todos los servicios, cisterna de 15,000 litros, cochera para 2 y 3 autos.,Ideal para hotel u hostal, en bonita calle y excelente ubicación!,*se pueden vender por separado.",5
"Bonita casa en Col. Volcanes, a una cuadra de San Felipe!",arlette,Casa,Volcanes,[3500000],[4],[2],[210],[180],"Bonita casa en Colonia Volcanes, a solo una cuadra de San Felipe, cerca del Hotel Misión!,Terreno de 180 metros cuadrados, y 210 metros cuadrados de construcción.,Planta baja con cochera para dos autos, área de servicio, sala, estudio, comedor, cocina integral, medio baño, jardín y habitación para visitas.,Planta alta con sala familiar con balcón con bonitas vistas de las montañas, tres recámaras; la principal con vestidor y baño, y baño completo.,Cuenta con todos los servicios, portón eléctrio y cisterna.,Calle tranquila y segura, con todos los servicios al alcance!",2
